ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042102	GO:0042102	positive regulation of T cell proliferation	9/294	90/17913	1.68769340148355e-05	0.000658217406558367	0.000582286496364254	PRKCQ/CD3E/HLA-DPA1/ZAP70/CD81/HLA-DPB1/XCL1/HLA-DMB/CCL5	9
GO:0046634	GO:0046634	regulation of alpha-beta T cell activation	9/294	90/17913	1.68769340148355e-05	0.000658217406558367	0.000582286496364254	GATA3/RUNX3/PRKCQ/CD3E/ZAP70/CD81/TBX21/XCL1/CD160	9
GO:0030183	GO:0030183	B cell differentiation	10/294	113/17913	1.70450758699246e-05	0.000658217406558367	0.000582286496364254	FCRL3/LFNG/GPR183/DOCK10/CD27/IKZF3/CD79A/MS4A1/ITGA4/BLNK	10
GO:0070228	GO:0070228	regulation of lymphocyte apoptotic process	7/294	51/17913	1.86342947419959e-05	0.000705937932110887	0.000624502058201076	PRKCQ/CD74/IL7R/CD27/CCL5/CD3G/SLC39A10	7
GO:0050871	GO:0050871	positive regulation of B cell activation	8/294	70/17913	1.87059735097133e-05	0.000705937932110887	0.000624502058201076	NFATC2/FCRL3/CD81/TBX21/CD74/GPR183/CD27/SLC39A10	8
GO:0033632	GO:0033632	regulation of cell-cell adhesion mediated by integrin	4/294	11/17913	2.14238598245446e-05	0.000781853170080357	0.000691659835399698	DPP4/CD3E/SKAP1/CCL5	4
GO:0035457	GO:0035457	cellular response to interferon-alpha	4/294	11/17913	2.14238598245446e-05	0.000781853170080357	0.000691659835399698	GATA3/PYHIN1/IFIT2/IFIT3	4
GO:2000551	GO:2000551	regulation of T-helper 2 cell cytokine production	4/294	11/17913	2.14238598245446e-05	0.000781853170080357	0.000691659835399698	GATA3/CD81/TBX21/XCL1	4
GO:0045621	GO:0045621	positive regulation of lymphocyte differentiation	9/294	93/17913	2.20194728243512e-05	0.000794855100539894	0.000703161883898903	GATA3/TESPA1/RUNX3/FLT3LG/ZAP70/CD74/IL7R/RASGRP1/CD27	9
GO:0070670	GO:0070670	response to interleukin-4	6/294	36/17913	2.39048069390331e-05	0.000842691268879133	0.000745479748155013	GATA3/TCF7/LEF1/XCL1/IMPDH2/HSP90AB1	6
GO:0036037	GO:0036037	CD8-positive, alpha-beta T cell activation	5/294	22/17913	2.41058929670333e-05	0.000842691268879133	0.000745479748155013	RUNX3/GPR18/SATB1/EOMES/XCL1	5
GO:0072643	GO:0072643	interferon-gamma secretion	5/294	22/17913	2.41058929670333e-05	0.000842691268879133	0.000745479748155013	GATA3/CD2/RASGRP1/CD160/BTN3A2	5
GO:0001818	GO:0001818	negative regulation of cytokine production	16/294	290/17913	2.56705646902138e-05	0.000888041097252083	0.000785598092657748	GATA3/TRIB2/SIGIRR/LEF1/NLRC3/TBX21/GPR18/PDCD4/CD96/RNF125/XCL1/BANK1/RPS6KA5/CX3CR1/HSP90AB1/HERC5	16
GO:0050857	GO:0050857	positive regulation of antigen receptor-mediated signaling pathway	5/294	23/17913	3.0390210376515e-05	0.00104047307897326	0.000920445764089564	TESPA1/LCK/CD81/CCR7/TRAT1	5
GO:0031295	GO:0031295	T cell costimulation	7/294	55/17913	3.08828488485816e-05	0.00104655041863408	0.000925822031540186	DPP4/CD3E/LCK/CD81/FYN/CCR7/CD160	7
GO:0031294	GO:0031294	lymphocyte costimulation	7/294	56/17913	3.480422962986e-05	0.00116752370303803	0.00103284003080212	DPP4/CD3E/LCK/CD81/FYN/CCR7/CD160	7
GO:0042098	GO:0042098	T cell proliferation	12/294	177/17913	3.70780146025562e-05	0.00123136086495089	0.00108931303953404	PRKCQ/CD3E/HLA-DPA1/ZAP70/CD81/HLA-DPB1/SATB1/FYN/XCL1/HLA-DMB/CCL5/CLC	12
GO:0030890	GO:0030890	positive regulation of B cell proliferation	6/294	39/17913	3.84209176391383e-05	0.00126332542058989	0.00111759021501652	NFATC2/FCRL3/CD81/CD74/GPR183/SLC39A10	6
GO:0030888	GO:0030888	regulation of B cell proliferation	7/294	57/17913	3.91255881764418e-05	0.00127388312092121	0.00112692999587667	NFATC2/FCRL3/CD81/CD74/GPR183/IKZF3/SLC39A10	7
GO:0002367	GO:0002367	cytokine production involved in immune response	9/294	101/17913	4.26447330913674e-05	0.00137498212229545	0.00121636637770063	GATA3/CD81/TBX21/SPON2/CD96/CD74/XCL1/CD160/CLC	9
GO:0042093	GO:0042093	T-helper cell differentiation	7/294	58/17913	4.38777130769301e-05	0.00140113351085082	0.00123950098378251	GATA3/SLAMF6/LY9/LEF1/TBX21/GPR183/RORA	7
GO:0035745	GO:0035745	T-helper 2 cell cytokine production	4/294	13/17913	4.52280145735794e-05	0.0014170022301779	0.0012535391129579	GATA3/CD81/TBX21/XCL1	4
GO:0043374	GO:0043374	CD8-positive, alpha-beta T cell differentiation	4/294	13/17913	4.52280145735794e-05	0.0014170022301779	0.0012535391129579	RUNX3/GPR18/SATB1/EOMES	4
GO:0048872	GO:0048872	homeostasis of number of cells	14/294	241/17913	4.70855608949029e-05	0.00146141259562591	0.00129282636948032	CCN3/GATA3/ETS1/FLT3LG/LAT/TGFBR3/CD74/IL7R/GPR183/DOCK10/SIT1/CCR7/PDE4B/FLVCR1	14
GO:2000514	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	7/294	59/17913	4.90929610731851e-05	0.00150960855300044	0.00133546251808245	GATA3/RUNX3/PRKCQ/CD81/TBX21/XCL1/CD160	7
GO:0071887	GO:0071887	leukocyte apoptotic process	9/294	103/17913	4.98070598312177e-05	0.0015175160155915	0.00134245778840105	PRKCQ/CD74/IL7R/CD27/CCR7/CCL5/CD3G/SLC39A10/CLC	9
GO:0002690	GO:0002690	positive regulation of leukocyte chemotaxis	8/294	81/17913	5.45409827990763e-05	0.00163971501634523	0.0014505601073296	CD74/XCL1/CCR7/CCL5/STK39/CCL4/CXCL8/PLA2G7	8
GO:0002294	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	7/294	60/17913	5.48052896158748e-05	0.00163971501634523	0.0014505601073296	GATA3/SLAMF6/LY9/LEF1/TBX21/GPR183/RORA	7
GO:2000106	GO:2000106	regulation of leukocyte apoptotic process	8/294	82/17913	5.95884271063045e-05	0.00176690327160748	0.00156307612832421	PRKCQ/CD74/IL7R/CD27/CCR7/CCL5/CD3G/SLC39A10	8
GO:0050920	GO:0050920	regulation of chemotaxis	12/294	186/17913	6.01231078655497e-05	0.0017669808957654	0.00156314479788309	CCN3/GPR18/TIAM1/CD74/GPR183/XCL1/CCR7/CCL5/STK39/CCL4/CXCL8/PLA2G7	12
GO:0046635	GO:0046635	positive regulation of alpha-beta T cell activation	7/294	61/17913	6.1050288164571e-05	0.00177849128942579	0.00157332737088936	RUNX3/PRKCQ/CD3E/ZAP70/CD81/XCL1/CD160	7
GO:0035589	GO:0035589	G protein-coupled purinergic nucleotide receptor signaling pathway	4/294	14/17913	6.25027029318025e-05	0.00180496936031753	0.00159675097375433	P2RY10/GPR171/P2RY8/P2RY14	4
GO:0045582	GO:0045582	positive regulation of T cell differentiation	8/294	83/17913	6.50184517079279e-05	0.00186143343208645	0.00164670144026159	GATA3/TESPA1/RUNX3/ZAP70/CD74/IL7R/RASGRP1/CD27	8
GO:0032623	GO:0032623	interleukin-2 production	7/294	62/17913	6.78652081836966e-05	0.00192632783229108	0.00170410972596219	GATA3/CD247/PRKCQ/CD3E/TBX21/XCL1/PDE4B	7
GO:0002228	GO:0002228	natural killer cell mediated immunity	7/294	63/17913	7.52889917886442e-05	0.00211893848923803	0.00187450112472887	SLAMF6/SH2D1B/CD96/RASGRP1/CD160/KLRD1/GZMB	7
GO:0009615	GO:0009615	response to virus	16/294	323/17913	9.27103258857183e-05	0.00258731926274345	0.00228885023924847	GATA3/MAP3K14/TBX21/PRF1/SPON2/RNF125/XCL1/CCL5/OAS2/CCL4/MX1/IFIT1/IFIT2/IFIT3/HERC5/IFI44L	16
GO:0002700	GO:0002700	regulation of production of molecular mediator of immune response	10/294	138/17913	9.4739166937961e-05	0.00262190644500807	0.00231944749933201	GATA3/FCRL3/CD81/TBX21/SPON2/CD96/CD74/XCL1/CD160/CLC	10
GO:0072538	GO:0072538	T-helper 17 type immune response	5/294	29/17913	9.89440249911734e-05	0.00271564551236105	0.00240237297738464	PRKCQ/SLAMF6/LY9/TBX21/RORA	5
GO:0002830	GO:0002830	positive regulation of type 2 immune response	4/294	16/17913	0.000110731558548132	0.00301425824539628	0.00266653822181049	GATA3/CD81/CD74/XCL1	4
GO:0002828	GO:0002828	regulation of type 2 immune response	5/294	30/17913	0.000117149680704321	0.00316304137901667	0.00279815797043868	GATA3/CD81/TBX21/CD74/XCL1	5
GO:0002708	GO:0002708	positive regulation of lymphocyte mediated immunity	8/294	91/17913	0.000125117220747608	0.00335092169437747	0.00296436471227992	GATA3/SLAMF6/SH2D1B/CD81/TBX21/RASGRP1/XCL1/CD160	8
GO:1902107	GO:1902107	positive regulation of leukocyte differentiation	10/294	143/17913	0.000127384912933639	0.00338436236682091	0.00299394772208662	GATA3/TESPA1/RUNX3/FLT3LG/LEF1/ZAP70/CD74/IL7R/RASGRP1/CD27	10
GO:0002724	GO:0002724	regulation of T cell cytokine production	5/294	31/17913	0.000137816728477482	0.00363245520058507	0.00321342096224439	GATA3/CD81/TBX21/XCL1/CLC	5
GO:0070233	GO:0070233	negative regulation of T cell apoptotic process	4/294	17/17913	0.000142938448735768	0.00373778415946052	0.00330659934041881	PRKCQ/IL7R/CD27/CCL5	4
GO:0032633	GO:0032633	interleukin-4 production	5/294	32/17913	0.000161162067501765	0.00418140020447938	0.00369904054603146	GATA3/PRKCQ/CD3E/LEF1/ITK	5
GO:0002687	GO:0002687	positive regulation of leukocyte migration	9/294	121/17913	0.000173447972036861	0.00446527686150709	0.00395016964467465	CD74/XCL1/CCR7/CCL5/ITGA4/STK39/CCL4/CXCL8/PLA2G7	9
GO:0042129	GO:0042129	regulation of T cell proliferation	10/294	149/17913	0.000178647601007913	0.00455911723618267	0.00403318474339873	PRKCQ/CD3E/HLA-DPA1/ZAP70/CD81/HLA-DPB1/XCL1/HLA-DMB/CCL5/CLC	10
GO:0070098	GO:0070098	chemokine-mediated signaling pathway	6/294	51/17913	0.00017983871061124	0.00455911723618267	0.00403318474339873	CCR6/CCR3/CCR7/CCL5/CX3CR1/STK39	6
GO:0046641	GO:0046641	positive regulation of alpha-beta T cell proliferation	4/294	18/17913	0.000181413074537783	0.00456418803439377	0.00403767058241589	CD3E/ZAP70/CD81/XCL1	4
GO:0002720	GO:0002720	positive regulation of cytokine production involved in immune response	6/294	52/17913	0.000200526347745838	0.00500712782604458	0.00442951354617044	GATA3/CD81/SPON2/CD74/XCL1/CD160	6
GO:1903708	GO:1903708	positive regulation of hemopoiesis	11/294	182/17913	0.000215715455263876	0.0053332353467144	0.00471800182338227	GATA3/TESPA1/RUNX3/ETS1/FLT3LG/LEF1/ZAP70/CD74/IL7R/RASGRP1/CD27	11
GO:2000403	GO:2000403	positive regulation of lymphocyte migration	5/294	34/17913	0.000216798184825789	0.0053332353467144	0.00471800182338227	XCL1/CCL5/ITGA4/STK39/CCL4	5
GO:0050853	GO:0050853	B cell receptor signaling pathway	6/294	53/17913	0.000223045732144566	0.00544657997391253	0.00481827119516629	NFATC2/PLEKHA1/FCRL3/CD81/CD79A/MS4A1	6
GO:0140131	GO:0140131	positive regulation of lymphocyte chemotaxis	4/294	19/17913	0.000226834418192063	0.00549866498405724	0.0048643477616139	XCL1/CCL5/STK39/CCL4	4
GO:0032663	GO:0032663	regulation of interleukin-2 production	6/294	54/17913	0.00024750992470789	0.00592003930117565	0.00523711300958216	GATA3/PRKCQ/CD3E/TBX21/XCL1/PDE4B	6
GO:0002703	GO:0002703	regulation of leukocyte mediated immunity	11/294	185/17913	0.000248554397509616	0.00592003930117565	0.00523711300958216	GATA3/SLAMF6/SH2D1B/CD81/TBX21/CD96/IL7R/RASGRP1/XCL1/CD160/CLC	11
GO:0042092	GO:0042092	type 2 immune response	5/294	35/17913	0.000249565041302195	0.00592003930117565	0.00523711300958216	GATA3/CD81/TBX21/CD74/XCL1	5
GO:1903706	GO:1903706	regulation of hemopoiesis	19/294	468/17913	0.000282830965021275	0.00666157187826705	0.00589310357129062	GATA3/NFATC2/TESPA1/RUNX3/PRKCQ/ETS1/FLT3LG/FCRL3/LEF1/ZAP70/CAMK4/TBX21/CD74/IL7R/CD2/RASGRP1/CD27/IKZF3/GPR171	19
GO:0019882	GO:0019882	antigen processing and presentation	12/294	220/17913	0.000291575124219309	0.00681916188403045	0.00603251424533796	HLA-DPA1/HLA-DQA1/HLA-DPB1/HLA-DRB5/CD74/HLA-DRB1/HLA-DMB/CCR7/HLA-DMA/CD8A/HLA-DRA/HLA-DQB1	12
GO:0050921	GO:0050921	positive regulation of chemotaxis	9/294	130/17913	0.000297400898527374	0.00690677191614971	0.00611001772388591	TIAM1/CD74/XCL1/CCR7/CCL5/STK39/CCL4/CXCL8/PLA2G7	9
GO:0048015	GO:0048015	phosphatidylinositol-mediated signaling	10/294	160/17913	0.000317895281616907	0.00733145993228993	0.00648571440784202	GATA3/PPP1R16B/PLEKHA1/NLRC3/PIK3IP1/FYN/RASGRP1/CD160/CCL5/CSF1R	10
GO:0035455	GO:0035455	response to interferon-alpha	4/294	21/17913	0.000341314201731086	0.00776372920512971	0.0068681177868166	GATA3/PYHIN1/IFIT2/IFIT3	4
GO:0035743	GO:0035743	CD4-positive, alpha-beta T cell cytokine production	4/294	21/17913	0.000341314201731086	0.00776372920512971	0.0068681177868166	GATA3/CD81/TBX21/XCL1	4
GO:0048017	GO:0048017	inositol lipid-mediated signaling	10/294	163/17913	0.000368677717315513	0.0083291067973117	0.0073682743217157	GATA3/PPP1R16B/PLEKHA1/NLRC3/PIK3IP1/FYN/RASGRP1/CD160/CCL5/CSF1R	10
GO:0002697	GO:0002697	regulation of immune effector process	18/294	441/17913	0.000382530596385679	0.00858367642295162	0.00759347720136863	GATA3/SLAMF6/SH2D1B/FCRL3/CD81/TBX21/SPON2/CD96/CD74/IL7R/RASGRP1/RNF125/XCL1/HLA-DMB/CD160/IFIT1/HERC5/CLC	18
GO:0031341	GO:0031341	regulation of cell killing	7/294	82/17913	0.000396949990421802	0.00884745582678392	0.00782682743389084	SLAMF6/PRF1/IL7R/RASGRP1/XCL1/CD160/HSP90AB1	7
GO:0035590	GO:0035590	purinergic nucleotide receptor signaling pathway	4/294	22/17913	0.000411804937011988	0.00911736130544541	0.00806559704702075	P2RY10/GPR171/P2RY8/P2RY14	4
GO:0002562	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	6/294	60/17913	0.000441930147566825	0.0094513936012633	0.00836109590995923	TCF7/BCL11B/CCR6/LEF1/TBX21/UNG	6
GO:0016444	GO:0016444	somatic cell DNA recombination	6/294	60/17913	0.000441930147566825	0.0094513936012633	0.00836109590995923	TCF7/BCL11B/CCR6/LEF1/TBX21/UNG	6
GO:1990868	GO:1990868	response to chemokine	6/294	60/17913	0.000441930147566825	0.0094513936012633	0.00836109590995923	CCR6/CCR3/CCR7/CCL5/CX3CR1/STK39	6
GO:1990869	GO:1990869	cellular response to chemokine	6/294	60/17913	0.000441930147566825	0.0094513936012633	0.00836109590995923	CCR6/CCR3/CCR7/CCL5/CX3CR1/STK39	6
GO:2000401	GO:2000401	regulation of lymphocyte migration	6/294	60/17913	0.000441930147566825	0.0094513936012633	0.00836109590995923	CCR6/XCL1/CCL5/ITGA4/STK39/CCL4	6
GO:0002699	GO:0002699	positive regulation of immune effector process	11/294	198/17913	0.000443967901775692	0.0094513936012633	0.00836109590995923	GATA3/SLAMF6/SH2D1B/CD81/TBX21/SPON2/CD74/RASGRP1/XCL1/HLA-DMB/CD160	11
GO:0014065	GO:0014065	phosphatidylinositol 3-kinase signaling	9/294	138/17913	0.000462027631153012	0.00977320868190544	0.00864578691617872	GATA3/PPP1R16B/PLEKHA1/NLRC3/PIK3IP1/FYN/RASGRP1/CD160/CCL5	9
GO:0002369	GO:0002369	T cell cytokine production	5/294	40/17913	0.000473111765644084	0.00994433021331647	0.00879716814065714	GATA3/CD81/TBX21/XCL1/CLC	5
GO:0002709	GO:0002709	regulation of T cell mediated immunity	6/294	61/17913	0.000483480677683435	0.0100352458161668	0.00887759586456887	GATA3/CD81/TBX21/IL7R/XCL1/CLC	6
GO:0033627	GO:0033627	cell adhesion mediated by integrin	6/294	61/17913	0.000483480677683435	0.0100352458161668	0.00887759586456887	CCN3/DPP4/CD3E/SKAP1/CCL5/ITGA4	6
GO:0035588	GO:0035588	G protein-coupled purinergic receptor signaling pathway	4/294	23/17913	0.000492102774198402	0.0101507659199559	0.00897978975343407	P2RY10/GPR171/P2RY8/P2RY14	4
GO:0043491	GO:0043491	protein kinase B signaling	13/294	268/17913	0.000509496314468943	0.0104446744466133	0.00923979346122689	GATA3/PIK3C2B/PLEKHA1/LCK/THEM4/FYN/CCR7/CCL5/BANK1/CX3CR1/HSP90AB1/TRAT1/CHI3L1	13
GO:0097529	GO:0097529	myeloid leukocyte migration	10/294	170/17913	0.00051391971858004	0.0104707201558547	0.00926283457899187	CCN3/CD81/CD74/XCL1/CCR7/CCL5/PDE4B/CX3CR1/CXCL8/PLA2G7	10
GO:2000404	GO:2000404	regulation of T cell migration	5/294	41/17913	0.00053166723633096	0.0107662615357019	0.00952428277663485	CCR6/XCL1/CCL5/ITGA4/STK39	5
GO:0002407	GO:0002407	dendritic cell chemotaxis	4/294	24/17913	0.000582948398829651	0.0115926445060675	0.0102553355255818	CCR6/GPR183/CCR7/CCL5	4
GO:0033081	GO:0033081	regulation of T cell differentiation in thymus	4/294	24/17913	0.000582948398829651	0.0115926445060675	0.0102553355255818	TESPA1/CAMK4/IL7R/RASGRP1	4
GO:0090023	GO:0090023	positive regulation of neutrophil chemotaxis	4/294	24/17913	0.000582948398829651	0.0115926445060675	0.0102553355255818	CD74/XCL1/CCR7/CXCL8	4
GO:0002715	GO:0002715	regulation of natural killer cell mediated immunity	5/294	42/17913	0.000595503789484588	0.0117021780170315	0.0103522334254219	SLAMF6/SH2D1B/CD96/RASGRP1/CD160	5
GO:0048247	GO:0048247	lymphocyte chemotaxis	5/294	42/17913	0.000595503789484588	0.0117021780170315	0.0103522334254219	GPR183/XCL1/CCL5/STK39/CCL4	5
GO:0002478	GO:0002478	antigen processing and presentation of exogenous peptide antigen	10/294	174/17913	0.000616317222349641	0.0120399382083715	0.0106510301398009	HLA-DPA1/HLA-DQA1/HLA-DPB1/HLA-DRB5/CD74/HLA-DRB1/HLA-DMB/HLA-DMA/HLA-DRA/HLA-DQB1	10
GO:0033089	GO:0033089	positive regulation of T cell differentiation in thymus	3/294	11/17913	0.000654890350941915	0.0124993727326328	0.0110574650301203	TESPA1/IL7R/RASGRP1	3
GO:0035747	GO:0035747	natural killer cell chemotaxis	3/294	11/17913	0.000654890350941915	0.0124993727326328	0.0110574650301203	XCL1/CCL5/CCL4	3
GO:0045059	GO:0045059	positive thymic T cell selection	3/294	11/17913	0.000654890350941915	0.0124993727326328	0.0110574650301203	ZAP70/CD74/CD3D	3
GO:1902065	GO:1902065	response to L-glutamate	3/294	11/17913	0.000654890350941915	0.0124993727326328	0.0110574650301203	AMIGO1/FYN/BCL11A	3
GO:0019884	GO:0019884	antigen processing and presentation of exogenous antigen	10/294	176/17913	0.000673516976856328	0.0127814278865135	0.0113069827513144	HLA-DPA1/HLA-DQA1/HLA-DPB1/HLA-DRB5/CD74/HLA-DRB1/HLA-DMB/HLA-DMA/HLA-DRA/HLA-DQB1	10
GO:0010818	GO:0010818	T cell chemotaxis	4/294	25/17913	0.000685088877680045	0.0128541252134205	0.0113712938305382	GPR183/XCL1/CCL5/STK39	4
GO:1901623	GO:1901623	regulation of lymphocyte chemotaxis	4/294	25/17913	0.000685088877680045	0.0128541252134205	0.0113712938305382	XCL1/CCL5/STK39/CCL4	4
GO:0002705	GO:0002705	positive regulation of leukocyte mediated immunity	8/294	117/17913	0.000696010381715383	0.0129856768408808	0.0114876698720735	GATA3/SLAMF6/SH2D1B/CD81/TBX21/RASGRP1/XCL1/CD160	8
GO:0071622	GO:0071622	regulation of granulocyte chemotaxis	5/294	44/17913	0.000740215938879508	0.013733280072731	0.0121490307874902	CD74/XCL1/CCR7/CCL5/CXCL8	5
GO:0071624	GO:0071624	positive regulation of granulocyte chemotaxis	4/294	26/17913	0.000799275899122126	0.0146077799394484	0.0129226497443701	CD74/XCL1/CCR7/CXCL8	4
GO:0072539	GO:0072539	T-helper 17 cell differentiation	4/294	26/17913	0.000799275899122126	0.0146077799394484	0.0129226497443701	SLAMF6/LY9/TBX21/RORA	4
GO:0002200	GO:0002200	somatic diversification of immune receptors	6/294	67/17913	0.000800546807883048	0.0146077799394484	0.0129226497443701	TCF7/BCL11B/CCR6/LEF1/TBX21/UNG	6
GO:0002819	GO:0002819	regulation of adaptive immune response	9/294	150/17913	0.000843455668967815	0.0153066463204487	0.0135408960143179	GATA3/PRKCQ/CD81/TBX21/SKAP1/IL7R/XCL1/CD160/CLC	9
GO:0002702	GO:0002702	positive regulation of production of molecular mediator of immune response	7/294	93/17913	0.000848969725902046	0.0153229807593516	0.0135553461384017	GATA3/CD81/TBX21/SPON2/CD74/XCL1/CD160	7
GO:0072540	GO:0072540	T-helper 17 cell lineage commitment	3/294	12/17913	0.000862613480109384	0.0154850776618555	0.0136987438007698	SLAMF6/LY9/TBX21	3
GO:0070231	GO:0070231	T cell apoptotic process	5/294	46/17913	0.000909693474879078	0.016190121520918	0.0143224549247633	PRKCQ/IL7R/CD27/CCL5/CLC	5
GO:0032673	GO:0032673	regulation of interleukin-4 production	4/294	27/17913	0.000926264103876668	0.016190121520918	0.0143224549247633	GATA3/PRKCQ/CD3E/LEF1	4
GO:0036336	GO:0036336	dendritic cell migration	4/294	27/17913	0.000926264103876668	0.016190121520918	0.0143224549247633	CCR6/GPR183/CCR7/CCL5	4
GO:0046640	GO:0046640	regulation of alpha-beta T cell proliferation	4/294	27/17913	0.000926264103876668	0.016190121520918	0.0143224549247633	CD3E/ZAP70/CD81/XCL1	4
GO:1902624	GO:1902624	positive regulation of neutrophil migration	4/294	27/17913	0.000926264103876668	0.016190121520918	0.0143224549247633	CD74/XCL1/CCR7/CXCL8	4
GO:0043393	GO:0043393	regulation of protein binding	11/294	217/17913	0.000949308497624698	0.01650603937493	0.0146019289990109	NOG/LDLRAP1/LEF1/MEN1/TIAM1/LFNG/TGFBR3/ITGA4/HSP90AB1/IFIT1/IFIT2	11
GO:0002717	GO:0002717	positive regulation of natural killer cell mediated immunity	4/294	28/17913	0.00106680950291606	0.0183568619646852	0.0162392436467888	SLAMF6/SH2D1B/RASGRP1/CD160	4
GO:2000406	GO:2000406	positive regulation of T cell migration	4/294	28/17913	0.00106680950291606	0.0183568619646852	0.0162392436467888	XCL1/CCL5/ITGA4/STK39	4
GO:0002312	GO:0002312	B cell activation involved in immune response	6/294	71/17913	0.0010878514067842	0.0185478256323524	0.0164081780503322	CCR6/TBX21/LFNG/GPR183/DOCK10/UNG	6
GO:0001909	GO:0001909	leukocyte mediated cytotoxicity	7/294	97/17913	0.00108907738582015	0.0185478256323524	0.0164081780503322	SLAMF6/PRF1/IL7R/RASGRP1/XCL1/CD160/GZMB	7
GO:1902713	GO:1902713	regulation of interferon-gamma secretion	3/294	13/17913	0.00110782911977013	0.0187210893760216	0.0165614543648794	CD2/RASGRP1/CD160	3
GO:0001906	GO:0001906	cell killing	9/294	156/17913	0.00111327540573845	0.0187210893760216	0.0165614543648794	SLAMF6/PRF1/IL7R/RASGRP1/XCL1/GNLY/CD160/GZMB/HSP90AB1	9
GO:0048002	GO:0048002	antigen processing and presentation of peptide antigen	10/294	188/17913	0.00111616251022351	0.0187210893760216	0.0165614543648794	HLA-DPA1/HLA-DQA1/HLA-DPB1/HLA-DRB5/CD74/HLA-DRB1/HLA-DMB/HLA-DMA/HLA-DRA/HLA-DQB1	10
GO:0002377	GO:0002377	immunoglobulin production	7/294	98/17913	0.00115670792205236	0.0193036533122407	0.0170768146545789	CCR6/FCRL3/TBX21/IL7R/XCL1/UNG/HLA-DQB1	7
GO:0051098	GO:0051098	regulation of binding	15/294	368/17913	0.0011731241383206	0.0194797263168136	0.0172325761581726	NOG/GATA3/LDLRAP1/LEF1/MEN1/PARP1/TIAM1/LFNG/TGFBR3/PYHIN1/ITGA4/HSP90AB1/GZMA/IFIT1/IFIT2	15
GO:0031343	GO:0031343	positive regulation of cell killing	5/294	50/17913	0.00133310816083966	0.0220261303589478	0.0194852310914034	SLAMF6/PRF1/RASGRP1/XCL1/CD160	5
GO:0046633	GO:0046633	alpha-beta T cell proliferation	4/294	30/17913	0.00139159387148861	0.0222398132278333	0.0196742638453487	CD3E/ZAP70/CD81/XCL1	4
GO:0090022	GO:0090022	regulation of neutrophil chemotaxis	4/294	30/17913	0.00139159387148861	0.0222398132278333	0.0196742638453487	CD74/XCL1/CCR7/CXCL8	4
GO:1904837	GO:1904837	beta-catenin-TCF complex assembly	4/294	30/17913	0.00139159387148861	0.0222398132278333	0.0196742638453487	TCF7/BCL9L/LEF1/MEN1	4
GO:0001771	GO:0001771	immunological synapse formation	3/294	14/17913	0.00139291814254421	0.0222398132278333	0.0196742638453487	CD81/PRF1/CCR7	3
GO:0010820	GO:0010820	positive regulation of T cell chemotaxis	3/294	14/17913	0.00139291814254421	0.0222398132278333	0.0196742638453487	XCL1/CCL5/STK39	3
GO:0033151	GO:0033151	V(D)J recombination	3/294	14/17913	0.00139291814254421	0.0222398132278333	0.0196742638453487	TCF7/BCL11B/LEF1	3
GO:1905064	GO:1905064	negative regulation of vascular smooth muscle cell differentiation	3/294	14/17913	0.00139291814254421	0.0222398132278333	0.0196742638453487	NFATC2/DNMT1/PDCD4	3
GO:0035587	GO:0035587	purinergic receptor signaling pathway	4/294	31/17913	0.00157733863341619	0.0250638354142352	0.0221725113365126	P2RY10/GPR171/P2RY8/P2RY14	4
GO:0010819	GO:0010819	regulation of T cell chemotaxis	3/294	15/17913	0.00172011456497976	0.0272023831918942	0.0240643596534261	XCL1/CCL5/STK39	3
GO:0070232	GO:0070232	regulation of T cell apoptotic process	4/294	32/17913	0.00177964957140396	0.0280105034437562	0.0247792564419479	PRKCQ/IL7R/CD27/CCL5	4
GO:0002381	GO:0002381	immunoglobulin production involved in immunoglobulin mediated immune response	5/294	55/17913	0.00204795765582413	0.0319922565747387	0.0283016808824532	CCR6/TBX21/XCL1/UNG/HLA-DQB1	5
GO:0071559	GO:0071559	response to transforming growth factor beta	11/294	239/17913	0.00205189721482064	0.0319922565747387	0.0283016808824532	BCL9L/RUNX3/ARHGEF18/MEN1/ZNF703/PARP1/FYN/TGFBR3/XCL1/CX3CR1/HSP90AB1	11
GO:0002295	GO:0002295	T-helper cell lineage commitment	3/294	16/17913	0.00209151064338706	0.0324575086293851	0.0287132622021312	SLAMF6/LY9/TBX21	3
GO:0051896	GO:0051896	regulation of protein kinase B signaling	11/294	241/17913	0.00218968399283348	0.0338229792567441	0.0299212143157808	GATA3/PLEKHA1/LCK/THEM4/FYN/CCR7/BANK1/CX3CR1/HSP90AB1/TRAT1/CHI3L1	11
GO:0001837	GO:0001837	epithelial to mesenchymal transition	8/294	140/17913	0.00220726639390548	0.0339367208062967	0.0300218348215896	NOG/BCL9L/LEF1/ZNF703/TIAM1/TGFBR3/PDCD4/EOMES	8
GO:1902622	GO:1902622	regulation of neutrophil migration	4/294	34/17913	0.00223693138117639	0.0342343277275888	0.0302851102831108	CD74/XCL1/CCR7/CXCL8	4
GO:0002701	GO:0002701	negative regulation of production of molecular mediator of immune response	4/294	35/17913	0.00249336574761177	0.0375342086965729	0.0332043222466711	FCRL3/TBX21/CD96/XCL1	4
