ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042116	GO:0042116	macrophage activation	9/367	96/17913	0.000155797099832433	0.00609979514778723	0.00525681518770991	CST7/DYSF/MMP8/BPI/VSIG4/IL10/C1QA/SUCNR1/AZU1	9
GO:0120162	GO:0120162	positive regulation of cold-induced thermogenesis	9/367	97/17913	0.00016868356169895	0.0065333138627916	0.00563042244991742	GRB10/JAK2/ACSL1/IL18/LCN2/FABP5/PLAC8/PDGFC/G0S2	9
GO:0050777	GO:0050777	negative regulation of immune response	11/367	143/17913	0.000177962572561262	0.00667730402464234	0.00575451344828027	IRAK3/CR1/BCL6/SAMSN1/ARG1/CD55/CD59/VSIG4/ANXA1/CEACAM1/IL10	11
GO:0106106	GO:0106106	cold-induced thermogenesis	11/367	143/17913	0.000177962572561262	0.00667730402464234	0.00575451344828027	GRB10/MAP2K6/JAK2/ACSL1/IL18R1/IL18/LCN2/FABP5/PLAC8/PDGFC/G0S2	11
GO:0120161	GO:0120161	regulation of cold-induced thermogenesis	11/367	143/17913	0.000177962572561262	0.00667730402464234	0.00575451344828027	GRB10/MAP2K6/JAK2/ACSL1/IL18R1/IL18/LCN2/FABP5/PLAC8/PDGFC/G0S2	11
GO:0098869	GO:0098869	cellular oxidant detoxification	9/367	99/17913	0.00019713090382248	0.0073202630470987	0.00630861677018442	S100A9/TXN/HP/MGST1/ALOX5AP/GSTO1/GSR/MPO/CLIC2	9
GO:0042088	GO:0042088	T-helper 1 type immune response	6/367	42/17913	0.000199708718490252	0.00734031432654986	0.0063258970013722	IL18RAP/IL18R1/SEMA4A/IL18/IL1R1/ANXA1	6
GO:2000116	GO:2000116	regulation of cysteine-type endopeptidase activity	14/367	222/17913	0.00020458312298014	0.00740518610697337	0.00638180362648367	S100A9/CST7/MMP9/NLRC4/NAIP/JAK2/ASPH/LAMTOR5/AIM2/POR/CTSD/CARD16/LTF/HGF	14
GO:0097529	GO:0097529	myeloid leukocyte migration	12/367	170/17913	0.000205585399971498	0.00740518610697337	0.00638180362648367	S100A9/S100A12/CD177/MAPK14/CKLF/DYSF/BST1/IL1R1/C3AR1/ANXA1/AZU1/PRTN3	12
GO:0050701	GO:0050701	interleukin-1 secretion	7/367	60/17913	0.000217261277623274	0.0077482685346439	0.00667747272236619	IL1R2/SERPINB1/NLRC4/LILRA5/AIM2/CARD16/ORM1	7
GO:0046209	GO:0046209	nitric oxide metabolic process	8/367	81/17913	0.000251518998724859	0.00888207287653866	0.0076545874844129	TSPO/JAK2/MMP8/DDAH2/POR/CYP1B1/IL10/PTX3	8
GO:0032635	GO:0032635	interleukin-6 production	11/367	149/17913	0.000254972497059554	0.00891661101367489	0.00768435251741058	IRAK3/FCER1G/IL18RAP/LILRA5/MMP8/BPI/IL18/AZI2/ORM1/HGF/IL10	11
GO:0002819	GO:0002819	regulation of adaptive immune response	11/367	150/17913	0.00027020773539001	0.00935854098918093	0.00806520862009251	FCER1G/CR1/BCL6/SAMSN1/ARG1/IL18R1/IL18/IL1R1/ANXA1/CEACAM1/IL10	11
GO:1990845	GO:1990845	adaptive thermogenesis	11/367	152/17913	0.000302991517407164	0.0103940518638153	0.00895761388304487	GRB10/MAP2K6/JAK2/ACSL1/IL18R1/IL18/LCN2/FABP5/PLAC8/PDGFC/G0S2	11
GO:0006956	GO:0006956	complement activation	10/367	128/17913	0.000307087624929118	0.0104351851414593	0.008993062620814	CR1/CD55/CD59/C3AR1/CR1L/VSIG4/C1QB/PROS1/C1QA/C1QC	10
GO:0071621	GO:0071621	granulocyte chemotaxis	8/367	84/17913	0.000323268818214276	0.0108823764785778	0.00937845297505067	S100A9/S100A12/MAPK14/CKLF/DYSF/BST1/C3AR1/ANXA1	8
GO:1990748	GO:1990748	cellular detoxification	9/367	107/17913	0.000353889103476735	0.0118028569511407	0.010171724816305	S100A9/TXN/HP/MGST1/ALOX5AP/GSTO1/GSR/MPO/CLIC2	9
GO:0002292	GO:0002292	T cell differentiation involved in immune response	7/367	66/17913	0.000394468688957748	0.0130355616295946	0.0112340720785746	BCL6/CLEC4D/IL18R1/SEMA4A/IL18/CLEC4E/ANXA1	7
GO:0031348	GO:0031348	negative regulation of defense response	14/367	237/17913	0.000398657254625306	0.0130542130105487	0.0112501458745457	IRAK3/CR1/IL1R2/CST7/PGLYRP1/ARG1/TNFAIP6/VSIG4/HGF/CEACAM1/IL10/C5orf30/ELANE/WFDC1	14
GO:0016485	GO:0016485	protein processing	16/367	295/17913	0.000408189070700875	0.0132147483477827	0.0113884955368688	CR1/IL1R2/CST7/CD55/ASPH/CD59/C3AR1/CR1L/CARD16/VSIG4/C1QB/PROS1/C1QA/C1QC/CTSG/ADAMTS3	16
GO:2000117	GO:2000117	negative regulation of cysteine-type endopeptidase activity	8/367	87/17913	0.000410897227915509	0.0132147483477827	0.0113884955368688	CST7/MMP9/NAIP/LAMTOR5/POR/CARD16/LTF/HGF	8
GO:0002285	GO:0002285	lymphocyte activation involved in immune response	11/367	158/17913	0.000422119637964867	0.0134555304066323	0.0115960019781872	BCL6/CLEC4D/IL18R1/SEMA4A/RAB27A/IL18/CLEC4E/LGALS1/ANXA1/CEACAM1/IL10	11
GO:0006805	GO:0006805	xenobiotic metabolic process	9/367	110/17913	0.000434392242069268	0.0137252706660834	0.0118284646524679	S100A12/SULT1B1/ACSL1/NQO2/MGST1/GSTO1/POR/MARC1/CYP1B1	9
GO:0002456	GO:0002456	T cell mediated immunity	8/367	88/17913	0.000444063144346383	0.013908829964658	0.0119866564089472	IL18RAP/ARG1/CD55/IL18R1/RAB27A/IL18/IL1R1/CEACAM1	8
GO:0002521	GO:0002521	leukocyte differentiation	22/367	485/17913	0.000453243033720445	0.0140739776505262	0.0121289810021923	FCER1G/CR1/MAPK14/VNN1/BCL6/MMP9/CLEC4D/ADGRG3/OSCAR/IL18R1/SEMA4A/IL18/CLEC4E/LGALS1/AZI2/ANXA1/LTF/CEACAM1/TSPAN2/IL10/C1QC/PRTN3	22
GO:0002673	GO:0002673	regulation of acute inflammatory response	11/367	160/17913	0.000469658443993161	0.0142265697881591	0.012260485199825	FCER1G/CR1/CD55/CD59/C3AR1/CR1L/VSIG4/C1QB/PROS1/C1QA/C1QC	11
GO:0002822	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	10/367	135/17913	0.0004700060535233	0.0142265697881591	0.012260485199825	FCER1G/CR1/BCL6/ARG1/IL18R1/IL18/IL1R1/ANXA1/CEACAM1/IL10	10
GO:0002920	GO:0002920	regulation of humoral immune response	10/367	135/17913	0.0004700060535233	0.0142265697881591	0.012260485199825	CR1/CD55/CD59/C3AR1/CR1L/VSIG4/C1QB/PROS1/C1QA/C1QC	10
GO:0002706	GO:0002706	regulation of lymphocyte mediated immunity	10/367	136/17913	0.000498265070011792	0.0149562565181873	0.012889330626884	FCER1G/CR1/BCL6/IL18RAP/ARG1/IL18R1/IL18/IL1R1/CEACAM1/IL10	10
GO:0002827	GO:0002827	positive regulation of T-helper 1 type immune response	4/367	19/17913	0.000526487422439346	0.0156727908729465	0.0135068413116453	IL18R1/IL18/IL1R1/ANXA1	4
GO:0002700	GO:0002700	regulation of production of molecular mediator of immune response	10/367	138/17913	0.000559020501091945	0.0165048511879769	0.0142239124911143	IRAK3/FCER1G/MAPK14/BCL6/ARG1/IL18R1/IL18/IL1R1/IL10/MZB1	10
GO:0050702	GO:0050702	interleukin-1 beta secretion	6/367	51/17913	0.00058735570581186	0.0172004492059701	0.014823380200592	SERPINB1/NLRC4/LILRA5/AIM2/CARD16/ORM1	6
GO:0034614	GO:0034614	cellular response to reactive oxygen species	11/367	165/17913	0.000608454945661813	0.0176746347925311	0.0152320342509057	TXN/IL18RAP/MMP9/ARG1/CYP1B1/NME8/LCN2/HGF/IL10/PDCD10/MPO	11
GO:0050704	GO:0050704	regulation of interleukin-1 secretion	6/367	52/17913	0.000652673351245005	0.0188074352894761	0.0162082838974444	IL1R2/SERPINB1/LILRA5/AIM2/CARD16/ORM1	6
GO:0009636	GO:0009636	response to toxic substance	22/367	499/17913	0.000662401291734624	0.0189362654986358	0.0163193100194269	S100A9/TXN/IL18RAP/HP/KIF1B/ADAM9/ARG1/MGST1/ALOX5AP/GSTO1/GGH/GSR/MARC1/CYP1B1/LCN2/HPGD/HGF/IL10/PDCD10/TYMS/MPO/CLIC2	22
GO:0042092	GO:0042092	type 2 immune response	5/367	35/17913	0.000687670619428892	0.0195038548912037	0.0168084596493643	BCL6/ARG1/IL18/ANXA1/IL10	5
GO:0045089	GO:0045089	positive regulation of innate immune response	18/367	373/17913	0.000728059546760111	0.0204880506830462	0.0176566414752925	S100A9/IRAK3/TLR5/FCER1G/IL18RAP/NLRC4/CLEC4D/MAP2K6/PGLYRP1/FLOT1/ALPK1/AIM2/CLEC4E/PLSCR1/LY96/LTF/MARCO/PSMA4	18
GO:0060326	GO:0060326	cell chemotaxis	14/367	253/17913	0.000761097328979594	0.0212517254184845	0.0183147778307697	S100A9/S100A12/MAPK14/HMGB2/CKLF/RAB13/DYSF/BST1/C3AR1/ANXA1/HGF/IL10/DEFA1/AZU1	14
GO:0042542	GO:0042542	response to hydrogen peroxide	10/367	144/17913	0.000779145880540627	0.0215883343208257	0.0186048680300754	TXN/IL18RAP/HP/ADAM9/ARG1/CYP1B1/LCN2/HGF/IL10/PDCD10	10
GO:0002227	GO:0002227	innate immune response in mucosa	4/367	21/17913	0.000787072602165546	0.0216414924656511	0.0186506798215042	RNASE3/LTF/DEFA1/CAMP	4
GO:1901570	GO:1901570	fatty acid derivative biosynthetic process	8/367	96/17913	0.000795346100043355	0.0217033079723952	0.0187039525440818	ACSL1/ACSL4/ALOX5AP/PLA2G4A/FAR2/FAR1/HPGD/FABP5	8
GO:0006979	GO:0006979	response to oxidative stress	20/367	442/17913	0.000839860437601647	0.0227456939567002	0.0196022827897685	VNN1/TXN/IL18RAP/MTF1/MMP9/HP/JAK2/ADAM9/ARG1/MGST1/MCTP1/GSR/CYP1B1/NME8/LCN2/GCLM/HGF/IL10/PDCD10/MPO	20
GO:0001909	GO:0001909	leukocyte mediated cytotoxicity	8/367	97/17913	0.000851675316973189	0.0228676650367858	0.0197073977011255	IL18RAP/ARG1/RAB27A/IL18/CEACAM1/ELANE/AZU1/CTSG	8
GO:0001659	GO:0001659	temperature homeostasis	11/367	172/17913	0.000858846573473013	0.0228676650367858	0.0197073977011255	GRB10/MAP2K6/JAK2/ACSL1/IL18R1/IL18/LCN2/FABP5/PLAC8/PDGFC/G0S2	11
GO:0042110	GO:0042110	T cell activation	20/367	443/17913	0.000863409895891968	0.0228676650367858	0.0197073977011255	CR1/VNN1/BCL6/CLEC4D/ARG1/CD55/IL18R1/SEMA4A/RAB27A/FLOT2/IL18/CLEC4E/LGALS1/AZI2/VSIG4/ANXA1/CEACAM1/NEDD4/CD24/IL10	20
GO:0031663	GO:0031663	lipopolysaccharide-mediated signaling pathway	6/367	55/17913	0.000882791178338068	0.0232103198859396	0.0200026983090201	MAPK14/CD55/IL18/CARD16/LY96/LTF	6
GO:0030574	GO:0030574	collagen catabolic process	5/367	37/17913	0.000892954956986535	0.0233074185149674	0.020086378094228	MMP9/MMP8/CTSD/PRTN3/ADAMTS3	5
GO:1903900	GO:1903900	regulation of viral life cycle	10/367	147/17913	0.000913421023655392	0.0233526592645534	0.020125366659215	SRPK1/STOM/SNX3/PLSCR1/SLPI/LGALS1/LTF/TOP2A/PTX3/IFI27	10
GO:0006527	GO:0006527	arginine catabolic process	3/367	10/17913	0.000919672504584944	0.0233526592645534	0.020125366659215	ARG1/DDAH2/PADI4	3
GO:0098883	GO:0098883	synapse pruning	3/367	10/17913	0.000919672504584944	0.0233526592645534	0.020125366659215	C1QB/C1QA/C1QC	3
GO:1903409	GO:1903409	reactive oxygen species biosynthetic process	9/367	122/17913	0.000921191291709901	0.0233526592645534	0.020125366659215	TSPO/JAK2/MMP8/RAB27A/DDAH2/CYP1B1/IL10/PTX3/MPO	9
GO:0006809	GO:0006809	nitric oxide biosynthetic process	7/367	76/17913	0.000930068660726542	0.0233526592645534	0.020125366659215	TSPO/JAK2/MMP8/DDAH2/CYP1B1/IL10/PTX3	7
GO:0002218	GO:0002218	activation of innate immune response	16/367	319/17913	0.000946512111187219	0.0233526592645534	0.020125366659215	S100A9/IRAK3/TLR5/FCER1G/NLRC4/CLEC4D/MAP2K6/PGLYRP1/FLOT1/ALPK1/AIM2/CLEC4E/LY96/LTF/MARCO/PSMA4	16
GO:0050867	GO:0050867	positive regulation of cell activation	16/367	319/17913	0.000946512111187219	0.0233526592645534	0.020125366659215	FCER1G/CD177/VNN1/BCL6/CLEC4D/JAK2/LILRA5/CD55/MMP8/FLOT2/IL18/LGALS1/ANXA1/CD24/IL10/C1QA	16
GO:0009251	GO:0009251	glucan catabolic process	4/367	22/17913	0.000946554206725373	0.0233526592645534	0.020125366659215	PYGL/PPP1R3D/MGAM/PGM2	4
GO:0000302	GO:0000302	response to reactive oxygen species	13/367	230/17913	0.000958243727455948	0.023480230655077	0.0202353079288764	TXN/IL18RAP/MMP9/HP/ADAM9/ARG1/CYP1B1/NME8/LCN2/HGF/IL10/PDCD10/MPO	13
GO:0005976	GO:0005976	polysaccharide metabolic process	8/367	99/17913	0.00097393435092562	0.0235443726982153	0.0202905856649923	GYG1/PYGL/PPP1R3D/B4GALT5/MGAM/PGM2/CSGALNACT2/CHIT1	8
GO:0070301	GO:0070301	cellular response to hydrogen peroxide	8/367	99/17913	0.00097393435092562	0.0235443726982153	0.0202905856649923	TXN/IL18RAP/ARG1/CYP1B1/LCN2/HGF/IL10/PDCD10	8
GO:0022900	GO:0022900	electron transport chain	11/367	175/17913	0.000989624009528321	0.0237641712154734	0.0204800084498177	NQO2/ASPH/NDUFA1/NDUFB3/NDUFAF1/GSR/POR/GLRX/COX7A2/UQCRH/NDUFA4	11
GO:0032760	GO:0032760	positive regulation of tumor necrosis factor production	7/367	78/17913	0.00108547344730659	0.0258932142860817	0.0223148218620225	FCER1G/JAK2/LILRA5/MMP8/LY96/ORM1/AZU1	7
GO:0002449	GO:0002449	lymphocyte mediated immunity	15/367	293/17913	0.0011036271012617	0.0261530580180568	0.0225387556898943	FCER1G/CR1/BCL6/IL18RAP/ARG1/CD55/IL18R1/RAB27A/IL18/IL1R1/C1QB/CEACAM1/IL10/C1QA/C1QC	15
GO:0072376	GO:0072376	protein activation cascade	10/367	151/17913	0.00112143905977916	0.0263710932277098	0.022726658852835	CR1/CD55/CD59/C3AR1/CR1L/VSIG4/C1QB/PROS1/C1QA/C1QC	10
GO:0044247	GO:0044247	cellular polysaccharide catabolic process	4/367	23/17913	0.00112747039341124	0.0263710932277098	0.022726658852835	PYGL/PPP1R3D/MGAM/PGM2	4
GO:0034599	GO:0034599	cellular response to oxidative stress	15/367	296/17913	0.0012215573917549	0.0283874175812977	0.024464331057964	VNN1/TXN/IL18RAP/MMP9/JAK2/ARG1/MGST1/GSR/CYP1B1/NME8/LCN2/HGF/IL10/PDCD10/MPO	15
GO:0045628	GO:0045628	regulation of T-helper 2 cell differentiation	3/367	11/17913	0.0012454090690011	0.0283921738388731	0.0244684300098883	BCL6/IL18/ANXA1	3
GO:0070673	GO:0070673	response to interleukin-18	3/367	11/17913	0.0012454090690011	0.0283921738388731	0.0244684300098883	IL18RAP/IL18R1/IL18	3
GO:0072672	GO:0072672	neutrophil extravasation	3/367	11/17913	0.0012454090690011	0.0283921738388731	0.0244684300098883	CD177/IL1R1/PRTN3	3
GO:0046677	GO:0046677	response to antibiotic	16/367	328/17913	0.00126526800978572	0.0286634929009318	0.0247022532992922	TXN/IL18RAP/HP/JAK2/ADAM9/ARG1/ALPL/PLA2G4A/GGH/CYP1B1/LCN2/HPGD/HGF/IL10/PDCD10/TYMS	16
GO:0045123	GO:0045123	cellular extravasation	6/367	59/17913	0.00128127549053274	0.0286818657723971	0.0247180870752503	CD177/BST1/IL1R1/ELANE/AZU1/PRTN3	6
GO:0032692	GO:0032692	negative regulation of interleukin-1 production	5/367	40/17913	0.00128200455007105	0.0286818657723971	0.0247180870752503	IL1R2/SERPINB1/CARD16/CEACAM1/IL10	5
GO:0002576	GO:0002576	platelet degranulation	9/367	128/17913	0.00129393826650826	0.0287701582466837	0.0247941776993688	FCER1G/CD63/F5/TIMP1/ORM1/HGF/MMRN1/ITGA2B/PROS1	9
GO:0032717	GO:0032717	negative regulation of interleukin-8 production	4/367	24/17913	0.00133130246186567	0.0294193341573016	0.0253536387474451	BPI/ANXA1/IL10/ELANE	4
GO:1903557	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	7/367	81/17913	0.00135601701556848	0.0297827639638882	0.0256668432536036	FCER1G/JAK2/LILRA5/MMP8/LY96/ORM1/AZU1	7
GO:0007596	GO:0007596	blood coagulation	16/367	331/17913	0.00138988510614594	0.0303416130444708	0.0261484604658653	FCER1G/CD177/JAK2/CD59/RAB27A/F5/ENTPD1/PLSCR1/CEACAM1/CLEC1B/MMRN1/ITGA2B/HPSE/PROS1/SERPINB2/PRTN3	16
GO:0030593	GO:0030593	neutrophil chemotaxis	6/367	60/17913	0.00139949929196713	0.0303674484919615	0.0261707255041919	S100A9/S100A12/CKLF/DYSF/BST1/C3AR1	6
GO:0051090	GO:0051090	regulation of DNA-binding transcription factor activity	19/367	429/17913	0.00144088370323981	0.0310544052127466	0.0267627461271194	S100A9/IRAK3/S100A12/ANXA3/MAPK14/IL18RAP/NLRC4/JAK2/FLOT1/ADGRG3/IL18R1/FLOT2/IL18/AIM2/CYP1B1/CARD16/LTF/IL10/BEX1	19
GO:0031341	GO:0031341	regulation of cell killing	7/367	82/17913	0.0014570223434076	0.0310544052127466	0.0267627461271194	IL18RAP/PGLYRP1/ARG1/CD55/CD59/CR1L/CEACAM1	7
GO:0032651	GO:0032651	regulation of interleukin-1 beta production	7/367	82/17913	0.0014570223434076	0.0310544052127466	0.0267627461271194	SERPINB1/JAK2/LILRA5/AIM2/CARD16/ORM1/AZU1	7
GO:0034113	GO:0034113	heterotypic cell-cell adhesion	6/367	61/17913	0.00152586282046136	0.0319171256006332	0.0275062402163322	FLOT1/CD58/ITGA7/IL10/DSC2/CEACAM6	6
GO:0006732	GO:0006732	coenzyme metabolic process	17/367	366/17913	0.00153105034627367	0.0319171256006332	0.0275062402163322	SLC2A3/VNN1/HK3/ACSL1/ACSL4/BST1/PFKFB3/TP53I3/GSTO1/VNN2/PFKFB2/PGM2/LDHA/MMADHC/FAR2/FAR1/TYMS	17
GO:0002703	GO:0002703	regulation of leukocyte mediated immunity	11/367	185/17913	0.0015497379652433	0.0319171256006332	0.0275062402163322	FCER1G/CD177/CR1/BCL6/IL18RAP/ARG1/IL18R1/IL18/IL1R1/CEACAM1/IL10	11
GO:0002719	GO:0002719	negative regulation of cytokine production involved in immune response	4/367	25/17913	0.00155952640358452	0.0319171256006332	0.0275062402163322	IRAK3/BCL6/ARG1/IL10	4
GO:0031664	GO:0031664	regulation of lipopolysaccharide-mediated signaling pathway	4/367	25/17913	0.00155952640358452	0.0319171256006332	0.0275062402163322	CD55/CARD16/LY96/LTF	4
GO:0032461	GO:0032461	positive regulation of protein oligomerization	4/367	25/17913	0.00155952640358452	0.0319171256006332	0.0275062402163322	SH3GLB1/AIM2/BIK/JCHAIN	4
GO:0035336	GO:0035336	long-chain fatty-acyl-CoA metabolic process	4/367	25/17913	0.00155952640358452	0.0319171256006332	0.0275062402163322	ACSL1/ACSL4/FAR2/FAR1	4
GO:0032731	GO:0032731	positive regulation of interleukin-1 beta production	5/367	42/17913	0.00160292212123433	0.0324561256132225	0.0279707514636293	JAK2/LILRA5/AIM2/ORM1/AZU1	5
GO:0050715	GO:0050715	positive regulation of cytokine secretion	9/367	132/17913	0.00160388405306874	0.0324561256132225	0.0279707514636293	MAPK14/LILRA5/MMP8/CD58/AIM2/CLEC4E/CLEC5A/ORM1/IL10	9
GO:0007599	GO:0007599	hemostasis	16/367	336/17913	0.0016205506915031	0.0326101876580679	0.0281035224301243	FCER1G/CD177/JAK2/CD59/RAB27A/F5/ENTPD1/PLSCR1/CEACAM1/CLEC1B/MMRN1/ITGA2B/HPSE/PROS1/SERPINB2/PRTN3	16
GO:0050817	GO:0050817	coagulation	16/367	337/17913	0.00167034616661182	0.0334254827340877	0.0288061452943758	FCER1G/CD177/JAK2/CD59/RAB27A/F5/ENTPD1/PLSCR1/CEACAM1/CLEC1B/MMRN1/ITGA2B/HPSE/PROS1/SERPINB2/PRTN3	16
GO:0030595	GO:0030595	leukocyte chemotaxis	11/367	188/17913	0.00176101498497686	0.0350451711374953	0.0302019958749448	S100A9/S100A12/MAPK14/CKLF/DYSF/BST1/C3AR1/ANXA1/IL10/DEFA1/AZU1	11
GO:0002825	GO:0002825	regulation of T-helper 1 type immune response	4/367	26/17913	0.00181360891310225	0.0358935126648039	0.0309330982344623	IL18R1/IL18/IL1R1/ANXA1	4
GO:0051224	GO:0051224	negative regulation of protein transport	11/367	189/17913	0.00183645181990225	0.0361469915589502	0.0311515468328543	TXN/IL1R2/SERPINB1/UBE2J1/LILRA5/SNX3/KCNE1/DPH3/CARD16/ANXA1/IL10	11
GO:0050830	GO:0050830	defense response to Gram-positive bacterium	7/367	86/17913	0.0019210265415726	0.0376061826236114	0.03240908049827	HMGB2/PGLYRP1/RNASE3/DEFA1/CAMP/DEFA4/CTSG	7
GO:0050706	GO:0050706	regulation of interleukin-1 beta secretion	5/367	44/17913	0.00197922173035801	0.0385010255627191	0.0331802578638939	SERPINB1/LILRA5/AIM2/CARD16/ORM1	5
GO:0002695	GO:0002695	negative regulation of leukocyte activation	10/367	163/17913	0.00198811514565957	0.0385010255627191	0.0331802578638939	BCL6/CST7/SAMSN1/ARG1/BPI/MILR1/VSIG4/ANXA1/CEACAM1/IL10	10
GO:0015718	GO:0015718	monocarboxylic acid transport	9/367	137/17913	0.00207222262829604	0.0395089176049189	0.0340488611639457	MAP2K6/ACSL1/ACSL4/PLA2G4A/EMB/CEACAM1/ATP5PF/SLC51A/ERFE	9
GO:0071466	GO:0071466	cellular response to xenobiotic stimulus	10/367	164/17913	0.00207966444728817	0.0395089176049189	0.0340488611639457	S100A12/SULT1B1/ACSL1/ARG1/NQO2/MGST1/GSTO1/POR/MARC1/CYP1B1	10
GO:0002829	GO:0002829	negative regulation of type 2 immune response	3/367	13/17913	0.00209395250124661	0.0395089176049189	0.0340488611639457	BCL6/ARG1/ANXA1	3
GO:0015949	GO:0015949	nucleobase-containing small molecule interconversion	4/367	27/17913	0.0020950036819932	0.0395089176049189	0.0340488611639457	GSR/GLRX/RRM2/TYMS	4
GO:0044788	GO:0044788	modulation by host of viral process	4/367	27/17913	0.0020950036819932	0.0395089176049189	0.0340488611639457	STOM/LTF/PTX3/IFI27	4
GO:0045428	GO:0045428	regulation of nitric oxide biosynthetic process	6/367	65/17913	0.0021199759728488	0.0397716325739654	0.0342752694294468	TSPO/JAK2/MMP8/DDAH2/IL10/PTX3	6
GO:0097164	GO:0097164	ammonium ion metabolic process	11/367	193/17913	0.00216501665406277	0.0401978865357428	0.0346426159133538	SLC22A4/PLBD1/CHPT1/ACER3/PLA2G4A/SPTLC2/POR/SGMS2/FABP5/CETP/MAOA	11
GO:1904950	GO:1904950	negative regulation of establishment of protein localization	11/367	193/17913	0.00216501665406277	0.0401978865357428	0.0346426159133538	TXN/IL1R2/SERPINB1/UBE2J1/LILRA5/SNX3/KCNE1/DPH3/CARD16/ANXA1/IL10	11
GO:0002820	GO:0002820	negative regulation of adaptive immune response	5/367	45/17913	0.00218981409537158	0.0402876506352968	0.0347199747869577	CR1/BCL6/SAMSN1/ARG1/CEACAM1	5
GO:0044264	GO:0044264	cellular polysaccharide metabolic process	7/367	88/17913	0.00219222085633486	0.0402876506352968	0.0347199747869577	GYG1/PYGL/PPP1R3D/B4GALT5/MGAM/PGM2/CSGALNACT2	7
GO:0032103	GO:0032103	positive regulation of response to external stimulus	15/367	315/17913	0.0022416993529936	0.0409878226877306	0.0353233844081118	S100A9/S100A12/FCER1G/MAPK14/JAK2/ARG1/DYSF/LILRA5/MMP8/IL18/C3AR1/LY96/C1QA/SUCNR1/AZU1	15
GO:0043030	GO:0043030	regulation of macrophage activation	6/367	66/17913	0.0022925267012379	0.041705460494237	0.0359418460497107	CST7/MMP8/BPI/VSIG4/IL10/C1QA	6
GO:0002221	GO:0002221	pattern recognition receptor signaling pathway	11/367	197/17913	0.00253979667180272	0.0459715960393638	0.0396184098658885	S100A9/IRAK3/TLR5/MAP2K6/PGLYRP1/FLOT1/ALPK1/CLEC4E/LY96/LTF/MARCO	11
GO:0006525	GO:0006525	arginine metabolic process	3/367	14/17913	0.00262481571099924	0.0465743162119176	0.040137835269571	ARG1/DDAH2/PADI4	3
GO:0042033	GO:0042033	chemokine biosynthetic process	3/367	14/17913	0.00262481571099924	0.0465743162119176	0.040137835269571	IL18/ELANE/AZU1	3
GO:0045064	GO:0045064	T-helper 2 cell differentiation	3/367	14/17913	0.00262481571099924	0.0465743162119176	0.040137835269571	BCL6/IL18/ANXA1	3
GO:0050755	GO:0050755	chemokine metabolic process	3/367	14/17913	0.00262481571099924	0.0465743162119176	0.040137835269571	IL18/ELANE/AZU1	3
GO:0051604	GO:0051604	protein maturation	16/367	353/17913	0.00265917843455442	0.0467252578638861	0.0402679170754844	CR1/IL1R2/CST7/CD55/ASPH/CD59/C3AR1/CR1L/CARD16/VSIG4/C1QB/PROS1/C1QA/C1QC/CTSG/ADAMTS3	16
GO:0035722	GO:0035722	interleukin-12-mediated signaling pathway	5/367	47/17913	0.00265926648031556	0.0467252578638861	0.0402679170754844	JAK2/GSTO1/IL10/SERPINB2/CA1	5
GO:0051346	GO:0051346	negative regulation of hydrolase activity	18/367	420/17913	0.00271370047108074	0.0474502383341399	0.0408927066388201	CR1/CST7/SERPINB1/MMP9/NAIP/LAMTOR5/POR/SORT1/TIMP1/CARD16/CSTA/SLPI/LTF/HGF/PTX3/PTTG1/PROS1/WFDC1	18
GO:0071902	GO:0071902	positive regulation of protein serine/threonine kinase activity	15/367	322/17913	0.00276288199715756	0.0480768162017466	0.0414326926499753	S100A12/MAPK14/GADD45A/MAP2K6/JAK2/ACSL1/ADAM9/MAP3K20/LTF/FAM20A/HGF/CD24/PDCD10/ELANE/CKS2	15
GO:0045785	GO:0045785	positive regulation of cell adhesion	17/367	388/17913	0.0028150889104262	0.0486442328724487	0.0419216934278767	VNN1/BCL6/JAK2/FLOT1/ADAM9/DYSF/CD55/FLOT2/IL18/LGALS1/ANXA1/OLFM4/CD24/IL10/ELANE/AZU1/CEACAM6	17
GO:0036473	GO:0036473	cell death in response to oxidative stress	7/367	92/17913	0.00282249990847912	0.0486442328724487	0.0419216934278767	VNN1/TXN/JAK2/CYP1B1/HGF/IL10/PDCD10	7
GO:0022407	GO:0022407	regulation of cell-cell adhesion	17/367	389/17913	0.00289008906953625	0.049571908706998	0.0427211662459269	MAPK14/VNN1/BCL6/JAK2/FLOT1/ARG1/CD55/FLOT2/IL18/LGALS1/VSIG4/ANXA1/CEACAM1/CD24/IL10/ELANE/CEACAM6	17
GO:2001258	GO:2001258	negative regulation of cation channel activity	5/367	48/17913	0.00291948647016559	0.0497643576060241	0.0428870190771691	MMP9/DYSF/GSTO1/KCNE1/CLIC2	5
GO:0019058	GO:0019058	viral life cycle	15/367	324/17913	0.00292894053650114	0.0497643576060241	0.0428870190771691	CR1/SRPK1/CD55/STOM/LAMTOR5/SNX3/PLSCR1/CLEC5A/SLPI/LGALS1/LTF/TOP2A/PTX3/CHMP5/IFI27	15
