ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:1903532	GO:1903532	positive regulation of secretion by cell	12/158	381/17913	0.000146304898779503	0.00435682378807334	0.00350630344933007	ADAM9/AIM2/CD177/MMP8/JAK2/FCER1G/CD58/CLEC4E/MAPK14/PFKFB2/ORM1/LILRA5	12	geneontology_Biological_Process	0.0759493670886076
GO:0002724	GO:0002724	regulation of T cell cytokine production	4/158	31/17913	0.000152275082638346	0.00448248835214717	0.00360743631949039	IL18/IL1R1/ARG1/IL18R1	4	geneontology_Biological_Process	0.0253164556962025
GO:0002793	GO:0002793	positive regulation of peptide secretion	10/158	275/17913	0.000168062089947746	0.00488041320778277	0.00392768000198881	ADAM9/AIM2/MMP8/JAK2/CD58/CLEC4E/MAPK14/PFKFB2/ORM1/LILRA5	10	geneontology_Biological_Process	0.0632911392405063
GO:0050715	GO:0050715	positive regulation of cytokine secretion	7/158	132/17913	0.000170441912323829	0.00488041320778277	0.00392768000198881	AIM2/MMP8/CD58/CLEC4E/MAPK14/ORM1/LILRA5	7	geneontology_Biological_Process	0.0443037974683544
GO:0045785	GO:0045785	positive regulation of cell adhesion	12/158	388/17913	0.000173216502066471	0.00488041320778277	0.00392768000198881	ADAM9/IL18/VNN1/ANXA1/FLOT2/DYSF/JAK2/BCL6/OLFM4/CD55/CD24/FLOT1	12	geneontology_Biological_Process	0.0759493670886076
GO:0032611	GO:0032611	interleukin-1 beta production	6/158	93/17913	0.000173415697738474	0.00488041320778277	0.00392768000198881	AIM2/NLRC4/SERPINB1/JAK2/ORM1/LILRA5	6	geneontology_Biological_Process	0.0379746835443038
GO:0002829	GO:0002829	negative regulation of type 2 immune response	3/158	13/17913	0.000180461383422483	0.00490397702879059	0.00394664379554532	ANXA1/ARG1/BCL6	3	geneontology_Biological_Process	0.0189873417721519
GO:0002921	GO:0002921	negative regulation of humoral immune response	3/158	13/17913	0.000180461383422483	0.00490397702879059	0.00394664379554532	CR1/CD59/CD55	3	geneontology_Biological_Process	0.0189873417721519
GO:0007229	GO:0007229	integrin-mediated signaling pathway	6/158	94/17913	0.000183905206662062	0.00490397702879059	0.00394664379554532	ADAM9/BST1/CD177/TIMP1/CD63/FCER1G	6	geneontology_Biological_Process	0.0379746835443038
GO:0030593	GO:0030593	neutrophil chemotaxis	5/158	60/17913	0.000185067794017532	0.00490397702879059	0.00394664379554532	BST1/S100A12/S100A9/DYSF/C3AR1	5	geneontology_Biological_Process	0.0316455696202532
GO:0050701	GO:0050701	interleukin-1 secretion	5/158	60/17913	0.000185067794017532	0.00490397702879059	0.00394664379554532	AIM2/NLRC4/SERPINB1/ORM1/LILRA5	5	geneontology_Biological_Process	0.0316455696202532
GO:0002683	GO:0002683	negative regulation of immune system process	13/158	451/17913	0.000185742199060011	0.00490397702879059	0.00394664379554532	ANXA1/LTF/ARG1/H4C6/BCL6/CR1/BPI/FCER1G/CD59/CD55/SAMSN1/IRAK3/CST7	13	geneontology_Biological_Process	0.0822784810126582
GO:0010952	GO:0010952	positive regulation of peptidase activity	8/158	180/17913	0.000198908975936621	0.00517812395465507	0.004167272941579	AIM2/NLRC4/CTSD/S100A9/JAK2/ASPH/CR1/MAPK14	8	geneontology_Biological_Process	0.0506329113924051
GO:0043388	GO:0043388	positive regulation of DNA binding	5/158	61/17913	0.000200169571070227	0.00517812395465507	0.004167272941579	MMP9/TXN/MMP8/JAK2/HMGB2	5	geneontology_Biological_Process	0.0316455696202532
GO:0032652	GO:0032652	regulation of interleukin-1 production	6/158	96/17913	0.000206385141161157	0.00524413786581377	0.00422039990187359	AIM2/ANXA1/SERPINB1/JAK2/ORM1/LILRA5	6	geneontology_Biological_Process	0.0379746835443038
GO:0050708	GO:0050708	regulation of protein secretion	13/158	456/17913	0.000206816838909485	0.00524413786581377	0.00422039990187359	ADAM9/AIM2/TLR5/ANXA1/SERPINB1/MMP8/JAK2/CD58/CLEC4E/MAPK14/PFKFB2/ORM1/LILRA5	13	geneontology_Biological_Process	0.0822784810126582
GO:1902622	GO:1902622	regulation of neutrophil migration	4/158	34/17913	0.000219868740997118	0.00552042985974137	0.00444275536503981	IL1R1/BST1/DYSF/C3AR1	4	geneontology_Biological_Process	0.0253164556962025
GO:0006525	GO:0006525	arginine metabolic process	3/158	14/17913	0.000228193209689025	0.00561925778859225	0.00452229053209627	ARG1/DDAH2/PADI4	3	geneontology_Biological_Process	0.0189873417721519
GO:0045064	GO:0045064	T-helper 2 cell differentiation	3/158	14/17913	0.000228193209689025	0.00561925778859225	0.00452229053209627	IL18/ANXA1/BCL6	3	geneontology_Biological_Process	0.0189873417721519
GO:0051222	GO:0051222	positive regulation of protein transport	12/158	403/17913	0.000245434544029059	0.00595659574522715	0.00479377482856399	SH3GLB1/ADAM9/AIM2/MMP8/JAK2/CD58/CLEC4E/STOM/MAPK14/PFKFB2/ORM1/LILRA5	12	geneontology_Biological_Process	0.0759493670886076
GO:0042092	GO:0042092	type 2 immune response	4/158	35/17913	0.000246543986331151	0.00595659574522715	0.00479377482856399	IL18/ANXA1/ARG1/BCL6	4	geneontology_Biological_Process	0.0253164556962025
GO:0050900	GO:0050900	leukocyte migration	13/158	467/17913	0.000260520718265586	0.00623545382689875	0.00501819543889836	MMP9/IL1R1/BST1/CD177/ANXA1/S100A12/S100A9/DYSF/CEACAM8/C3AR1/FCER1G/CD58/MAPK14	13	geneontology_Biological_Process	0.0822784810126582
GO:0045428	GO:0045428	regulation of nitric oxide biosynthetic process	5/158	65/17913	0.000270162231408489	0.00640634698738092	0.00515572757405284	MMP8/JAK2/DDAH2/TSPO/PTX3	5	geneontology_Biological_Process	0.0316455696202532
GO:0002460	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	10/158	295/17913	0.000295262586878928	0.00693731637611866	0.00558304341003323	IL18/IL1R1/ANXA1/ARG1/BCL6/CR1/FCER1G/CD55/IL18RAP/IL18R1	10	geneontology_Biological_Process	0.0632911392405063
GO:0034599	GO:0034599	cellular response to oxidative stress	10/158	296/17913	0.000303306224864371	0.0070141935535959	0.00564491295667432	MMP9/VNN1/TXN/LCN2/ARG1/JAK2/GSR/IL18RAP/NME8/MGST1	10	geneontology_Biological_Process	0.0632911392405063
GO:0010955	GO:0010955	negative regulation of protein processing	4/158	37/17913	0.000306751143304468	0.0070141935535959	0.00564491295667432	CR1/CD59/CD55/CST7	4	geneontology_Biological_Process	0.0253164556962025
GO:1903318	GO:1903318	negative regulation of protein maturation	4/158	37/17913	0.000306751143304468	0.0070141935535959	0.00564491295667432	CR1/CD59/CD55/CST7	4	geneontology_Biological_Process	0.0253164556962025
GO:0002758	GO:0002758	innate immune response-activating signal transduction	10/158	298/17913	0.000319944389535367	0.00725112904070863	0.00583559492044945	PGLYRP1/TLR5/LTF/S100A9/CLEC4D/FCER1G/FLOT1/CLEC4E/IRAK3/MAP2K6	10	geneontology_Biological_Process	0.0632911392405063
GO:0051346	GO:0051346	negative regulation of hydrolase activity	12/158	420/17913	0.000356885222962133	0.00801105777027661	0.00644717364278	POR/MMP9/NAIP/TIMP1/LTF/SERPINB1/SLPI/CR1/CST7/CSTA/SORT1/PTX3	12	geneontology_Biological_Process	0.0759493670886076
GO:0002791	GO:0002791	regulation of peptide secretion	13/158	483/17913	0.000359731215767985	0.00801105777027661	0.00644717364278	ADAM9/AIM2/TLR5/ANXA1/SERPINB1/MMP8/JAK2/CD58/CLEC4E/MAPK14/PFKFB2/ORM1/LILRA5	13	geneontology_Biological_Process	0.0822784810126582
GO:0002221	GO:0002221	pattern recognition receptor signaling pathway	8/158	197/17913	0.000366077828509142	0.00808211481734408	0.00650435923975408	PGLYRP1/TLR5/LTF/S100A9/FLOT1/CLEC4E/IRAK3/MAP2K6	8	geneontology_Biological_Process	0.0506329113924051
GO:1903556	GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	5/158	71/17913	0.000408164993115036	0.00893427818262912	0.00719016695024058	LTF/BPI/TSPO/IRAK3/ORM1	5	geneontology_Biological_Process	0.0316455696202532
GO:0050832	GO:0050832	defense response to fungus	4/158	40/17913	0.000415841622289034	0.00902517283628996	0.00726331754185484	LTF/S100A12/S100A9/ARG1	4	geneontology_Biological_Process	0.0253164556962025
GO:0050729	GO:0050729	positive regulation of inflammatory response	7/158	153/17913	0.000420126035217003	0.00904153593437601	0.00727648630654482	IL18/S100A12/S100A9/MMP8/JAK2/FCER1G/LILRA5	7	geneontology_Biological_Process	0.0443037974683544
GO:0044262	GO:0044262	cellular carbohydrate metabolic process	9/158	256/17913	0.000456144855144873	0.00973489145021683	0.00783448795064615	DYSF/B4GALT5/HK3/GYG1/PYGL/PPP1R3D/PFKFB2/PFKFB3/MGAM	9	geneontology_Biological_Process	0.0569620253164557
GO:1904469	GO:1904469	positive regulation of tumor necrosis factor secretion	3/158	18/17913	0.000498465549105278	0.0104601884663873	0.00841819561322109	MMP8/ORM1/LILRA5	3	geneontology_Biological_Process	0.0189873417721519
GO:0032731	GO:0032731	positive regulation of interleukin-1 beta production	4/158	42/17913	0.000502383124313016	0.0104601884663873	0.00841819561322109	AIM2/JAK2/ORM1/LILRA5	4	geneontology_Biological_Process	0.0253164556962025
GO:0045429	GO:0045429	positive regulation of nitric oxide biosynthetic process	4/158	42/17913	0.000502383124313016	0.0104601884663873	0.00841819561322109	MMP8/JAK2/DDAH2/PTX3	4	geneontology_Biological_Process	0.0253164556962025
GO:1904951	GO:1904951	positive regulation of establishment of protein localization	12/158	440/17913	0.000540327907467185	0.0111595142824473	0.00898100206129667	SH3GLB1/ADAM9/AIM2/MMP8/JAK2/CD58/CLEC4E/STOM/MAPK14/PFKFB2/ORM1/LILRA5	12	geneontology_Biological_Process	0.0759493670886076
GO:1904407	GO:1904407	positive regulation of nitric oxide metabolic process	4/158	43/17913	0.000550135532837004	0.0112711767967645	0.00907086630143035	MMP8/JAK2/DDAH2/PTX3	4	geneontology_Biological_Process	0.0253164556962025
GO:0006809	GO:0006809	nitric oxide biosynthetic process	5/158	76/17913	0.000559077080514403	0.0113634635174396	0.00914513720674353	MMP8/JAK2/DDAH2/TSPO/PTX3	5	geneontology_Biological_Process	0.0316455696202532
GO:0010950	GO:0010950	positive regulation of endopeptidase activity	7/158	161/17913	0.000570104424825152	0.0114789076440438	0.00923804482913248	AIM2/NLRC4/CTSD/S100A9/JAK2/ASPH/CR1	7	geneontology_Biological_Process	0.0443037974683544
GO:0042110	GO:0042110	T cell activation	12/158	443/17913	0.000573721272330188	0.0114789076440438	0.00923804482913248	IL18/VNN1/ANXA1/FLOT2/CLEC4D/ARG1/BCL6/CR1/CD55/CD24/CLEC4E/IL18R1	12	geneontology_Biological_Process	0.0759493670886076
GO:0071902	GO:0071902	positive regulation of protein serine/threonine kinase activity	10/158	322/17913	0.00058673427956186	0.0115857391536083	0.00932402115241374	ACSL1/ADAM9/LTF/S100A12/JAK2/GADD45A/CD24/MAPK14/MAP2K6/MAP3K20	10	geneontology_Biological_Process	0.0632911392405063
GO:0002726	GO:0002726	positive regulation of T cell cytokine production	3/158	19/17913	0.000588108586477577	0.0115857391536083	0.00932402115241374	IL18/IL1R1/IL18R1	3	geneontology_Biological_Process	0.0189873417721519
GO:0050706	GO:0050706	regulation of interleukin-1 beta secretion	4/158	44/17913	0.000601026987488196	0.0116608342042217	0.00938445647130692	AIM2/SERPINB1/ORM1/LILRA5	4	geneontology_Biological_Process	0.0253164556962025
GO:0071622	GO:0071622	regulation of granulocyte chemotaxis	4/158	44/17913	0.000601026987488196	0.0116608342042217	0.00938445647130692	BST1/DYSF/C3AR1/MAPK14	4	geneontology_Biological_Process	0.0253164556962025
GO:0032760	GO:0032760	positive regulation of tumor necrosis factor production	5/158	78/17913	0.000629898972687126	0.0121291072861032	0.00976131530289982	MMP8/JAK2/FCER1G/ORM1/LILRA5	5	geneontology_Biological_Process	0.0316455696202532
GO:0002820	GO:0002820	negative regulation of adaptive immune response	4/158	45/17913	0.000655171517997389	0.0125215989372486	0.0100771864276425	ARG1/BCL6/CR1/SAMSN1	4	geneontology_Biological_Process	0.0253164556962025
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	10/158	328/17913	0.000676489813653957	0.0128332623167984	0.0103280082271692	IL18/VNN1/CD177/ANXA1/S100A9/FLOT2/ARG1/BCL6/CD55/CD24	10	geneontology_Biological_Process	0.0632911392405063
GO:0022407	GO:0022407	regulation of cell-cell adhesion	11/158	389/17913	0.00068473361854617	0.0128504252582321	0.01034182069324	IL18/VNN1/ANXA1/FLOT2/ARG1/JAK2/BCL6/CD55/CD24/FLOT1/MAPK14	11	geneontology_Biological_Process	0.069620253164557
GO:0010042	GO:0010042	response to manganese ion	3/158	20/17913	0.000687430011861691	0.0128504252582321	0.01034182069324	ADAM9/ARG1/TSPO	3	geneontology_Biological_Process	0.0189873417721519
GO:1903557	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	5/158	81/17913	0.000748470271353802	0.0138900896009934	0.0111785262495099	MMP8/JAK2/FCER1G/ORM1/LILRA5	5	geneontology_Biological_Process	0.0316455696202532
GO:0002526	GO:0002526	acute inflammatory response	8/158	220/17913	0.000758663464994163	0.0138969429688994	0.0111840417325079	VNN1/HP/CR1/C3AR1/FCER1G/CD59/CD55/ORM1	8	geneontology_Biological_Process	0.0506329113924051
GO:0045862	GO:0045862	positive regulation of proteolysis	10/158	333/17913	0.000759692313801609	0.0138969429688994	0.0111840417325079	ADAM9/AIM2/NLRC4/CTSD/S100A9/JAK2/ASPH/CR1/MAPK14/RBX1	10	geneontology_Biological_Process	0.0632911392405063
GO:0031341	GO:0031341	regulation of cell killing	5/158	82/17913	0.000791470752877354	0.014274342240274	0.0114877667467299	PGLYRP1/ARG1/CD59/CD55/IL18RAP	5	geneontology_Biological_Process	0.0316455696202532
GO:0032651	GO:0032651	regulation of interleukin-1 beta production	5/158	82/17913	0.000791470752877354	0.014274342240274	0.0114877667467299	AIM2/SERPINB1/JAK2/ORM1/LILRA5	5	geneontology_Biological_Process	0.0316455696202532
GO:0009251	GO:0009251	glucan catabolic process	3/158	22/17913	0.000916700725819434	0.0163032677696081	0.0131206141897255	PYGL/PPP1R3D/MGAM	3	geneontology_Biological_Process	0.0189873417721519
GO:0046835	GO:0046835	carbohydrate phosphorylation	3/158	22/17913	0.000916700725819434	0.0163032677696081	0.0131206141897255	HK3/PFKFB2/PFKFB3	3	geneontology_Biological_Process	0.0189873417721519
GO:0032732	GO:0032732	positive regulation of interleukin-1 production	4/158	50/17913	0.000978703211216428	0.0172859236132777	0.0139114402000854	AIM2/JAK2/ORM1/LILRA5	4	geneontology_Biological_Process	0.0253164556962025
GO:0000302	GO:0000302	response to reactive oxygen species	8/158	230/17913	0.00101136322752868	0.0177404193541161	0.0142772112436997	ADAM9/MMP9/TXN/LCN2/ARG1/HP/IL18RAP/NME8	8	geneontology_Biological_Process	0.0506329113924051
GO:2000117	GO:2000117	negative regulation of cysteine-type endopeptidase activity	5/158	87/17913	0.00103469632014712	0.017882863516071	0.0143918480710524	POR/MMP9/NAIP/LTF/CST7	5	geneontology_Biological_Process	0.0316455696202532
GO:0034123	GO:0034123	positive regulation of toll-like receptor signaling pathway	3/158	23/17913	0.00104741488770428	0.017882863516071	0.0143918480710524	TLR5/LTF/FLOT1	3	geneontology_Biological_Process	0.0189873417721519
GO:0044247	GO:0044247	cellular polysaccharide catabolic process	3/158	23/17913	0.00104741488770428	0.017882863516071	0.0143918480710524	PYGL/PPP1R3D/MGAM	3	geneontology_Biological_Process	0.0189873417721519
GO:0060143	GO:0060143	positive regulation of syncytium formation by plasma membrane fusion	3/158	23/17913	0.00104741488770428	0.017882863516071	0.0143918480710524	ADAM9/FLOT1/MAPK14	3	geneontology_Biological_Process	0.0189873417721519
GO:0150077	GO:0150077	regulation of neuroinflammatory response	4/158	51/17913	0.00105477655405012	0.0178892897676978	0.0143970198175681	MMP9/IL18/MMP8/CST7	4	geneontology_Biological_Process	0.0253164556962025
GO:0044264	GO:0044264	cellular polysaccharide metabolic process	5/158	88/17913	0.00108932666592821	0.0183537209963299	0.014770786785924	B4GALT5/GYG1/PYGL/PPP1R3D/MGAM	5	geneontology_Biological_Process	0.0316455696202532
GO:0030217	GO:0030217	T cell differentiation	8/158	234/17913	0.0011296026109087	0.0188733661690115	0.015188989070439	IL18/VNN1/ANXA1/CLEC4D/BCL6/CR1/CLEC4E/IL18R1	8	geneontology_Biological_Process	0.0506329113924051
GO:0050704	GO:0050704	regulation of interleukin-1 secretion	4/158	52/17913	0.00113490761031932	0.0188733661690115	0.015188989070439	AIM2/SERPINB1/ORM1/LILRA5	4	geneontology_Biological_Process	0.0253164556962025
GO:0002824	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	5/158	89/17913	0.00114606721051955	0.0189359879105843	0.0152393860658558	IL18/IL1R1/ANXA1/FCER1G/IL18R1	5	geneontology_Biological_Process	0.0316455696202532
GO:0002449	GO:0002449	lymphocyte mediated immunity	9/158	293/17913	0.00118887134045608	0.0195173045058207	0.0157072205439474	IL18/IL1R1/ARG1/BCL6/CR1/FCER1G/CD55/IL18RAP/IL18R1	9	geneontology_Biological_Process	0.0569620253164557
GO:0035710	GO:0035710	CD4-positive, alpha-beta T cell activation	5/158	90/17913	0.00120496792109428	0.0196555595281685	0.0158184860174496	IL18/ANXA1/BCL6/CD55/IL18R1	5	geneontology_Biological_Process	0.0316455696202532
GO:2001056	GO:2001056	positive regulation of cysteine-type endopeptidase activity	6/158	135/17913	0.00126250966179252	0.0202651778576077	0.0163090972873244	AIM2/NLRC4/CTSD/S100A9/JAK2/ASPH	6	geneontology_Biological_Process	0.0379746835443038
GO:0002708	GO:0002708	positive regulation of lymphocyte mediated immunity	5/158	91/17913	0.00126607905397002	0.0202651778576077	0.0163090972873244	IL18/IL1R1/FCER1G/IL18RAP/IL18R1	5	geneontology_Biological_Process	0.0316455696202532
GO:0060333	GO:0060333	interferon-gamma-mediated signaling pathway	5/158	91/17913	0.00126607905397002	0.0202651778576077	0.0163090972873244	FCGR1A/FCGR1B/ARG1/JAK2/IFNGR1	5	geneontology_Biological_Process	0.0316455696202532
GO:0000272	GO:0000272	polysaccharide catabolic process	3/158	25/17913	0.00134282098217548	0.0207166538274181	0.0166724380665795	PYGL/PPP1R3D/MGAM	3	geneontology_Biological_Process	0.0189873417721519
GO:0002719	GO:0002719	negative regulation of cytokine production involved in immune response	3/158	25/17913	0.00134282098217548	0.0207166538274181	0.0166724380665795	ARG1/BCL6/IRAK3	3	geneontology_Biological_Process	0.0189873417721519
GO:0009065	GO:0009065	glutamine family amino acid catabolic process	3/158	25/17913	0.00134282098217548	0.0207166538274181	0.0166724380665795	ARG1/DDAH2/PADI4	3	geneontology_Biological_Process	0.0189873417721519
GO:0032461	GO:0032461	positive regulation of protein oligomerization	3/158	25/17913	0.00134282098217548	0.0207166538274181	0.0166724380665795	SH3GLB1/AIM2/BIK	3	geneontology_Biological_Process	0.0189873417721519
GO:0060330	GO:0060330	regulation of response to interferon-gamma	3/158	25/17913	0.00134282098217548	0.0207166538274181	0.0166724380665795	ARG1/JAK2/IFNGR1	3	geneontology_Biological_Process	0.0189873417721519
GO:0060334	GO:0060334	regulation of interferon-gamma-mediated signaling pathway	3/158	25/17913	0.00134282098217548	0.0207166538274181	0.0166724380665795	ARG1/JAK2/IFNGR1	3	geneontology_Biological_Process	0.0189873417721519
GO:0097237	GO:0097237	cellular response to toxic substance	8/158	241/17913	0.00136292102180958	0.0209008427356548	0.0168206704109875	S100A9/TXN/LCN2/ARG1/HP/GSR/IL18RAP/MGST1	8	geneontology_Biological_Process	0.0506329113924051
GO:0002702	GO:0002702	positive regulation of production of molecular mediator of immune response	5/158	93/17913	0.00139513497236818	0.0212274608777881	0.0170835275688811	IL18/IL1R1/FCER1G/MAPK14/IL18R1	5	geneontology_Biological_Process	0.0316455696202532
GO:0031663	GO:0031663	lipopolysaccharide-mediated signaling pathway	4/158	55/17913	0.00140079691071698	0.0212274608777881	0.0170835275688811	IL18/LTF/CD55/MAPK14	4	geneontology_Biological_Process	0.0253164556962025
GO:0030595	GO:0030595	leukocyte chemotaxis	7/158	188/17913	0.00141256428507389	0.0212798654945544	0.0171257019825058	BST1/ANXA1/S100A12/S100A9/DYSF/C3AR1/MAPK14	7	geneontology_Biological_Process	0.0443037974683544
GO:0002821	GO:0002821	positive regulation of adaptive immune response	5/158	94/17913	0.00146318158841909	0.0218345393555326	0.0175720948059486	IL18/IL1R1/ANXA1/FCER1G/IL18R1	5	geneontology_Biological_Process	0.0316455696202532
GO:0032675	GO:0032675	regulation of interleukin-6 production	6/158	139/17913	0.00146643528666599	0.0218345393555326	0.0175720948059486	MMP8/BPI/FCER1G/IRAK3/ORM1/LILRA5	6	geneontology_Biological_Process	0.0379746835443038
GO:0060142	GO:0060142	regulation of syncytium formation by plasma membrane fusion	3/158	26/17913	0.00150820511393588	0.0223266664554324	0.0179681509771005	ADAM9/FLOT1/MAPK14	3	geneontology_Biological_Process	0.0189873417721519
GO:0006732	GO:0006732	coenzyme metabolic process	10/158	366/17913	0.00154635549048826	0.0227598644318415	0.0183167819139505	ACSL1/ACSL4/BST1/VNN2/VNN1/SLC2A3/TP53I3/HK3/PFKFB2/PFKFB3	10	geneontology_Biological_Process	0.0632911392405063
GO:1903428	GO:1903428	positive regulation of reactive oxygen species biosynthetic process	4/158	57/17913	0.00160044935997265	0.0234214332050854	0.0188492020861741	MMP8/JAK2/DDAH2/PTX3	4	geneontology_Biological_Process	0.0253164556962025
GO:0050863	GO:0050863	regulation of T cell activation	9/158	307/17913	0.00164024617220545	0.0238674457216941	0.0192081459639849	IL18/VNN1/ANXA1/FLOT2/ARG1/BCL6/CR1/CD55/CD24	9	geneontology_Biological_Process	0.0569620253164557
GO:0044788	GO:0044788	modulation by host of viral process	3/158	27/17913	0.00168581869044807	0.0241099107172542	0.01940327798943	LTF/STOM/PTX3	3	geneontology_Biological_Process	0.0189873417721519
GO:1902624	GO:1902624	positive regulation of neutrophil migration	3/158	27/17913	0.00168581869044807	0.0241099107172542	0.01940327798943	IL1R1/DYSF/C3AR1	3	geneontology_Biological_Process	0.0189873417721519
GO:0106106	GO:0106106	cold-induced thermogenesis	6/158	143/17913	0.0016945661574017	0.0241099107172542	0.01940327798943	ACSL1/IL18/LCN2/JAK2/MAP2K6/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0120161	GO:0120161	regulation of cold-induced thermogenesis	6/158	143/17913	0.0016945661574017	0.0241099107172542	0.01940327798943	ACSL1/IL18/LCN2/JAK2/MAP2K6/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0042093	GO:0042093	T-helper cell differentiation	4/158	58/17913	0.00170733572487626	0.0241573855878901	0.0194414850206904	IL18/ANXA1/BCL6/IL18R1	4	geneontology_Biological_Process	0.0253164556962025
GO:0043406	GO:0043406	positive regulation of MAP kinase activity	8/158	250/17913	0.00171758962707981	0.0241689397524801	0.0194507836311293	ADAM9/S100A12/JAK2/GADD45A/CD24/MAPK14/MAP2K6/MAP3K20	8	geneontology_Biological_Process	0.0506329113924051
GO:0042542	GO:0042542	response to hydrogen peroxide	6/158	144/17913	0.00175559196166868	0.0243796362700774	0.0196203488837878	ADAM9/TXN/LCN2/ARG1/HP/IL18RAP	6	geneontology_Biological_Process	0.0379746835443038
GO:0042136	GO:0042136	neurotransmitter biosynthetic process	5/158	98/17913	0.00176002450168927	0.0243796362700774	0.0196203488837878	MMP8/JAK2/DDAH2/TSPO/PTX3	5	geneontology_Biological_Process	0.0316455696202532
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	8/158	251/17913	0.00176112171416022	0.0243796362700774	0.0196203488837878	IL18/VNN1/ANXA1/FLOT2/BCL6/CD55/CD24/FLOT1	8	geneontology_Biological_Process	0.0506329113924051
GO:0043281	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	7/158	196/17913	0.00179226106035004	0.0246490162017791	0.019837141627688	POR/MMP9/NAIP/NLRC4/CTSD/S100A9/JAK2	7	geneontology_Biological_Process	0.0443037974683544
GO:0002262	GO:0002262	myeloid cell homeostasis	6/158	145/17913	0.00181827213237382	0.0246490162017791	0.019837141627688	ANXA1/JAK2/BCL6/FCER1G/MAPK14/HMGB2	6	geneontology_Biological_Process	0.0379746835443038
GO:0042133	GO:0042133	neurotransmitter metabolic process	6/158	145/17913	0.00181827213237382	0.0246490162017791	0.019837141627688	POR/MMP8/JAK2/DDAH2/TSPO/PTX3	6	geneontology_Biological_Process	0.0379746835443038
GO:2000514	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	4/158	59/17913	0.00181908007111919	0.0246490162017791	0.019837141627688	IL18/ANXA1/BCL6/CD55	4	geneontology_Biological_Process	0.0253164556962025
GO:0005976	GO:0005976	polysaccharide metabolic process	5/158	99/17913	0.00184065825644602	0.0246802397631323	0.019862269860134	B4GALT5/GYG1/PYGL/PPP1R3D/MGAM	5	geneontology_Biological_Process	0.0316455696202532
GO:0098869	GO:0098869	cellular oxidant detoxification	5/158	99/17913	0.00184065825644602	0.0246802397631323	0.019862269860134	S100A9/TXN/HP/GSR/MGST1	5	geneontology_Biological_Process	0.0316455696202532
GO:0060326	GO:0060326	cell chemotaxis	8/158	253/17913	0.00185080370646489	0.0246870223555031	0.0198677283840914	BST1/ANXA1/S100A12/S100A9/DYSF/C3AR1/MAPK14/HMGB2	8	geneontology_Biological_Process	0.0506329113924051
GO:0050870	GO:0050870	positive regulation of T cell activation	7/158	198/17913	0.00189853691296887	0.0251925027674263	0.0202745310913175	IL18/VNN1/ANXA1/FLOT2/BCL6/CD55/CD24	7	geneontology_Biological_Process	0.0443037974683544
GO:0002294	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	4/158	60/17913	0.00193579523376931	0.0252937326208326	0.0203559992895827	IL18/ANXA1/BCL6/IL18R1	4	geneontology_Biological_Process	0.0253164556962025
GO:0031640	GO:0031640	killing of cells of other organism	4/158	60/17913	0.00193579523376931	0.0252937326208326	0.0203559992895827	PGLYRP1/LTF/S100A12/ARG1	4	geneontology_Biological_Process	0.0253164556962025
GO:0044364	GO:0044364	disruption of cells of other organism	4/158	60/17913	0.00193579523376931	0.0252937326208326	0.0203559992895827	PGLYRP1/LTF/S100A12/ARG1	4	geneontology_Biological_Process	0.0253164556962025
GO:1903426	GO:1903426	regulation of reactive oxygen species biosynthetic process	5/158	101/17913	0.00200999834371765	0.0261299784683295	0.0210289968314142	MMP8/JAK2/DDAH2/TSPO/PTX3	5	geneontology_Biological_Process	0.0316455696202532
GO:0002287	GO:0002287	alpha-beta T cell activation involved in immune response	4/158	61/17913	0.00205759352588854	0.0262280749311694	0.0211079433260978	IL18/ANXA1/BCL6/IL18R1	4	geneontology_Biological_Process	0.0253164556962025
GO:0002293	GO:0002293	alpha-beta T cell differentiation involved in immune response	4/158	61/17913	0.00205759352588854	0.0262280749311694	0.0211079433260978	IL18/ANXA1/BCL6/IL18R1	4	geneontology_Biological_Process	0.0253164556962025
GO:0002709	GO:0002709	regulation of T cell mediated immunity	4/158	61/17913	0.00205759352588854	0.0262280749311694	0.0211079433260978	IL18/IL1R1/ARG1/IL18R1	4	geneontology_Biological_Process	0.0253164556962025
GO:0002888	GO:0002888	positive regulation of myeloid leukocyte mediated immunity	3/158	29/17913	0.00207899227295095	0.0262280749311694	0.0211079433260978	CD177/ARG1/FCER1G	3	geneontology_Biological_Process	0.0189873417721519
